DATE,SESSION,TYPE_START,FROM,TO,LOCATION,SESSION_NUM,TYPE,TOPIC,CHAIR,CHAIR_CL,CHAIR_CONFIRMED,SPEAKER,TITLE,ABSTRACT,ABSTRACT_CL,REFERENCES,SPEAKER1,SPEAKER2,AFF1,AFF2,AUTHORS,TOPIC_REASSIGNED
7/30/2023,R,5:00 PM,5:00 PM,8:00 PM,Olmsted Hall,NA,Reception,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/31/2023,A,8:30 AM,8:30 AM,9:00 AM,Aliber Hall,NA,Breakfast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/31/2023,A,9:00 AM,9:00 AM,9:10 AM,Aliber 101,1,Welcome,NA,NA,NA,NA,Alejandro Hernandez,NA,NA,NA,NA,Alejandro Hernandez,NA,"Zimpleman College of Business, Drake University",NA,NA,NA
7/31/2023,A,9:10 AM,9:10 AM,9:20 AM,Aliber 101,1,Opening Remarks,NA,NA,NA,NA,Larry Zimpleman,NA,NA,NA,NA,Larry Zimpleman,NA,NA,NA,NA,NA
7/31/2023,A,9:20 AM,9:20 AM,10:20 AM,Aliber 101,1,Keynote Session,NA,Elias Shiu,Elias Shiu,TRUE,Montserrat Guillen,Pricing Motor Insurance With Telematics Data,"Many insurance companies collect telematics data about drivers’ exposure to traffic (distance driven and type of road), their driving behavior (excess speed, aggressiveness, operating hours) and contextual information (weather conditions, traffic intensity). Actuaries can use this information to improve motor insurance ratemaking. Several recent proposals will be presented, mostly using traditional GLM models and addressing weekly ratemaking. Personalized driving risk indicators can also promote driving safety. Illustrations with several real data sets provided by insurance companies will answer questions: (1) How are pay-per-mile insurance schemes be designed? (2) How can near-miss telematics be used to identify risky drivers? (3) Can external factors such as weather conditions be integrated?","Many insurance companies collect telematics data about drivers’ exposure to traffic (distance driven and type of road), their driving behavior (excess speed, aggressiveness, operating hours) and contextual information (weather conditions, traffic intensity). Actuaries can use this information to improve motor insurance ratemaking. Several recent proposals will be presented, mostly using traditional GLM models and addressing weekly ratemaking. Personalized driving risk indicators can also promote driving safety. Illustrations with several real data sets provided by insurance companies will answer questions: (1) How are pay-per-mile insurance schemes be designed? (2) How can near-miss telematics be used to identify risky drivers? (3) Can external factors such as weather conditions be integrated?",,Montserrat Guillen,NA,University of Barcelona,NA,NA,NA
7/31/2023,A,10:20 AM,10:20 AM,10:50 AM,Aliber Hall,NA,Coffee Break,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/31/2023,A,10:50 AM,10:50 AM,11:20 AM,Aliber 101,2,Parallel Session,(Invited Session) Climate Change: Models and Data,NA,NA,NA,Steve Jackson and Peter Ott,The More Things Change: NOAA Weather Station and ERA5 Reanalysis Climate Data Compared,"Assessing changes in climate requires a careful weighing of several options which exist for sources of data.  As part of its contribution to the revision of the Actuaries Climate Index, we are examining several elements from the ERA5 reanalysis database produced by the European Centre for Midrange Weather Forecasts, comparing them to observational sources (the Global Historical Climate Network, and the Permanent Service for Mean Sea Level).  In this first paper in a series of assessments we examine temperature and precipitation, and evaluate three dimensions: 1) the coverage and completeness of that coverage; 2) the consistency of results from the two sources; and 3) the performance of the two sources in special circumstances (such as Hurricane Katrina).  In general, we find ERA5 to be far superior in completeness and coverage, roughly consistent with observational data, and equal or superior to the observational data in special circumstances.  In the latter two findings we also note an important caveat: while ERA5 allows us to perform much more granular analysis than observational records, there is some limit to the granularity which produces results consistent with the observational.  The implications of these results for a use such as that of the Actuaries Climate Index are then discussed.","Assessing changes in climate requires a careful weighing of several options which exist for sources of data. As part of its contribution to the revision of the Actuaries Climate Index, we are examining several elements from the ERA5 reanalysis database produced by the European Centre for Midrange Weather Forecasts, comparing them to observational sources (the Global Historical Climate Network, and the Permanent Service for Mean Sea Level). In this first paper in a series of assessments we examine temperature and precipitation, and evaluate three dimensions: 1) the coverage and completeness of that coverage; 2) the consistency of results from the two sources; and 3) the performance of the two sources in special circumstances (such as Hurricane Katrina). In general, we find ERA5 to be far superior in completeness and coverage, roughly consistent with observational data, and equal or superior to the observational data in special circumstances. In the latter two findings we also note an important caveat: while ERA5 allows us to perform much more granular analysis than observational records, there is some limit to the granularity which produces results consistent with the observational. The implications of these results for a use such as that of the Actuaries Climate Index are then discussed.",,Steve Jackson and Peter Ott, ,American Academy of Actuaries,,,Climate Change: Models and Data
7/31/2023,A,10:50 AM,11:20 AM,11:50 AM,Aliber 101,2,Parallel Session,(Invited Session) Climate Change: Models and Data,NA,NA,NA,"Chia-Ying Lee, Adam H. Sobel, Michael K. Tippett, Suzana J. Camargo, Marc Wuest, Michael Wehner, and Hiroyuki Murakami",Climate Change Signal in Atlantic Tropical Cyclones Today and Near Future,"We use a set of computer model simulations to study recent trends in Atlantic hurricanes. We looked at three aspects of these storms: the number of tropical cyclones each year, which has fluctuated up and down over time (but generally increased over the last several decades); the strength of their winds, which has been increasing; and the speed at which they move, which has been decreasing. These trends could be caused either by human-induced global warming or by natural variability; determining which cause is more important to overall hurricane risk requires us to understand how the number of tropical cyclones per year responds to warming. In our simulations, this number can either increase or decrease with warming, depending on which of two nearly identical versions of our model we use to simulate the storms. This uncertainty prevents us from reaching definitive conclusions about either present or future hurricane risk. Nonetheless, our analysis suggests that the risk of Atlantic hurricanes is more likely increasing than decreasing, and we argue that from a broader point of view, this is effectively equivalent to saying the risk is increasing.","We use a set of computer model simulations to study recent trends in Atlantic hurricanes. We looked at three aspects of these storms: the number of tropical cyclones each year, which has fluctuated up and down over time (but generally increased over the last several decades); the strength of their winds, which has been increasing; and the speed at which they move, which has been decreasing. These trends could be caused either by human-induced global warming or by natural variability; determining which cause is more important to overall hurricane risk requires us to understand how the number of tropical cyclones per year responds to warming. In our simulations, this number can either increase or decrease with warming, depending on which of two nearly identical versions of our model we use to simulate the storms. This uncertainty prevents us from reaching definitive conclusions about either present or future hurricane risk. Nonetheless, our analysis suggests that the risk of Atlantic hurricanes is more likely increasing than decreasing, and we argue that from a broader point of view, this is effectively equivalent to saying the risk is increasing.",,"Chia-Ying Lee, Adam H. Sobel, Michael K. Tippett, Suzana J. Camargo, Marc Wuest, Michael Wehner, and Hiroyuki Murakami", ,American Academy of Actuaries,,,Climate Change: Models and Data
7/31/2023,A,10:50 AM,11:50 AM,12:20 PM,Aliber 101,2,Parallel Session,(Invited Session) Climate Change: Models and Data,NA,NA,NA,Lisa Gao and Peng Shi,Risk Modeling of Hail Damage Insurance Claims Using a Factor Copula Regression for Replicated Spatial Data,"The localized nature of hailstorms leads to a concentration of correlated risks that can substantially amplify aggregate storm-level losses. We propose a spatial factor copula to characterize the dependence between hail property damage claims arising from a common storm when analyzing its financial impact. The factor copula captures the spatial dependence among properties that decays with distance, as well as the aspatial dependence induced by the common shock of experiencing the same storm. The framework allows insurers to flexibly incorporate the observed heterogeneity in marginal models of skewed, heavy-tailed, and zero-inflated insurance losses, while retaining the model interpretation in decomposing latent sources of dependence. We present a likelihood-based estimation to address the computational challenges from the discreteness in the outcome and the factor copula in high dimensions. Using replicated spatial hail damage insurance claims data from a U.S. insurer, we demonstrate the effect of dependence on reinsurance and retention decisions.","The localized nature of hailstorms leads to a concentration of correlated risks that can substantially amplify aggregate storm-level losses. We propose a spatial factor copula to characterize the dependence between hail property damage claims arising from a common storm when analyzing its financial impact. The factor copula captures the spatial dependence among properties that decays with distance, as well as the aspatial dependence induced by the common shock of experiencing the same storm. The framework allows insurers to flexibly incorporate the observed heterogeneity in marginal models of skewed, heavy-tailed, and zero-inflated insurance losses, while retaining the model interpretation in decomposing latent sources of dependence. We present a likelihood-based estimation to address the computational challenges from the discreteness in the outcome and the factor copula in high dimensions. Using replicated spatial hail damage insurance claims data from a U.S. insurer, we demonstrate the effect of dependence on reinsurance and retention decisions.",,Lisa Gao and Peng Shi, ,American Academy of Actuaries,,,Climate Change: Models and Data
7/31/2023,A,10:50 AM,10:50 AM,11:20 AM,Aliber 102,3,Parallel Session,Statistical and Machine Learning I,Jinggong Zhang,Jinggong Zhang,TRUE,Danlei Zhu,Unearned Premium Risk and Machine Learning Techniques,"For insurance companies, the unearned premium is the portion of premium that is allocated for the remaining period of a policy or premium that still needs to be earned. Insufficient unearned premium to cover future losses will result in unearned premium risk. Reserves allocated for the unearned premium risk are called premium deficiency reserves (PDRs). Despite their importance, PDRs received less attention from the actuarial community compared to other reserves, and existing researches on PDR mainly focused on utilizing statistical models.  In this presentation, we demonstrate the effectiveness of two popular ensemble machine learning models, XGBoost and Random Forest, in calculating PDR on an extended warranty dataset, which comes under long-duration P&C insurance contracts.  while we include two statistical models as well, the results show that machine learning models predict reserves more accurately. Thus, this research encourages actuaries to consider incorporating machine learning models when calculating PDRs for the unearned premium risk.","For insurance companies, the unearned premium is the portion of premium that is allocated for the remaining period of a policy or premium that still needs to be earned. Insufficient unearned premium to cover future losses will result in unearned premium risk. Reserves allocated for the unearned premium risk are called premium deficiency reserves (PDRs). Despite their importance, PDRs received less attention from the actuarial community compared to other reserves, and existing researches on PDR mainly focused on utilizing statistical models. In this presentation, we demonstrate the effectiveness of two popular ensemble machine learning models, XGBoost and Random Forest, in calculating PDR on an extended warranty dataset, which comes under long-duration P&C insurance contracts. while we include two statistical models as well, the results show that machine learning models predict reserves more accurately. Thus, this research encourages actuaries to consider incorporating machine learning models when calculating PDRs for the unearned premium risk.", ,Danlei Zhu, ,Middle Tennessee State University,,,Statistical and machine learning I
